user_id,activity,timestamp
1,eat,2025-09-14 12:30
1,drink,2025-09-14 12:30
1,outside_in,2025-09-14 13:00
1,outside_out,2025-09-14 13:45
1,drink,2025-09-14 14:30
1,drink,2025-09-14 15:15
1,eat,2025-09-14 17:30
1,drink,2025-09-14 17:30
1,drink,2025-09-14 19:30
1,drink,2025-09-14 22:30
1,eat,2025-09-14 22:30
1,drink,2025-09-14 01:30
1,eat,2025-09-15 08:15
1,drink,2025-09-15 08:20
1,drink,2025-09-15 10:00
1,outside_in,2025-09-15 11:30
1,outside_out,2025-09-15 12:15
1,eat,2025-09-15 12:45
1,drink,2025-09-15 13:00
1,drink,2025-09-15 15:30
1,eat,2025-09-15 18:30
1,drink,2025-09-15 18:30
1,drink,2025-09-15 20:00
1,eat,2025-09-15 22:15
1,drink,2025-09-15 22:20
1,eat,2025-09-18 11:30
1,drink,2025-09-18 11:35
1,drink,2025-09-18 13:00
1,outside_in,2025-09-18 14:30
1,outside_out,2025-09-18 15:15
1,eat,2025-09-18 16:00
1,drink,2025-09-18 16:10
1,drink,2025-09-18 18:00
1,eat,2025-09-18 20:00
1,drink,2025-09-18 20:10
1,drink,2025-09-18 22:15
1,eat,2025-09-18 23:30
1,drink,2025-09-19 00:00
1,eat,2025-09-19 12:15
1,drink,2025-09-19 12:20
1,drink,2025-09-19 13:45
1,eat,2025-09-19 15:30
1,drink,2025-09-19 15:45
1,outside_in,2025-09-19 17:00
1,outside_out,2025-09-19 18:00
1,drink,2025-09-19 18:30
1,eat,2025-09-19 20:30
1,drink,2025-09-19 20:40
1,drink,2025-09-19 22:00
1,eat,2025-09-19 23:15
1,drink,2025-09-19 23:30
1,drink,2025-09-20 01:00
1,eat,2025-09-16 09:00
1,drink,2025-09-16 09:05
1,drink,2025-09-16 10:30
1,eat,2025-09-16 13:00
1,drink,2025-09-16 13:15
1,outside_in,2025-09-16 14:00
1,outside_out,2025-09-16 15:30
1,drink,2025-09-16 16:00
1,eat,2025-09-16 19:00
1,drink,2025-09-16 19:15
1,drink,2025-09-16 21:00
1,eat,2025-09-16 22:30
1,drink,2025-09-16 23:00
1,eat,2025-09-17 07:45
1,drink,2025-09-17 07:50
1,drink,2025-09-17 09:30
1,eat,2025-09-17 12:15
1,drink,2025-09-17 12:30
1,outside_in,2025-09-17 13:00
1,outside_out,2025-09-17 14:00
1,drink,2025-09-17 15:00
1,drink,2025-09-17 17:00
1,eat,2025-09-17 18:30
1,drink,2025-09-17 18:30
1,drink,2025-09-17 20:15
1,eat,2025-09-17 22:00
1,drink,2025-09-17 22:15
1,eat,2025-09-20 11:45
1,drink,2025-09-20 11:50
1,drink,2025-09-20 13:00
1,eat,2025-09-20 14:30
1,drink,2025-09-20 14:45
1,drink,2025-09-20 16:00
1,outside_in,2025-09-20 17:30
1,outside_out,2025-09-20 18:30
1,eat,2025-09-20 19:30
1,drink,2025-09-20 19:45
1,drink,2025-09-20 21:00
1,eat,2025-09-20 22:30
1,drink,2025-09-20 22:45
1,drink,2025-09-21 00:30

1,drink,2025-10-01 12:07
1,eat,2025-10-01 13:03
1,drink,2025-10-01 13:03
1,outside_in,2025-10-01 14:12
1,outside_out,2025-10-01 14:46
1,drink,2025-10-01 15:27
1,eat,2025-10-01 17:02
1,drink,2025-10-01 17:02
1,drink,2025-10-01 19:18
1,drink,2025-10-01 22:41

1,drink,2025-10-02 12:11
1,eat,2025-10-02 13:06
1,drink,2025-10-02 13:06
1,outside_in,2025-10-02 15:01
1,outside_out,2025-10-02 15:38
1,drink,2025-10-02 16:22
1,eat,2025-10-02 17:05
1,drink,2025-10-02 17:05
1,drink,2025-10-02 20:04
1,drink,2025-10-02 23:12
1,eat,2025-10-10 23:39

1,drink,2025-10-03 12:03
1,eat,2025-10-03 13:01
1,drink,2025-10-03 13:01
1,outside_in,2025-10-03 14:45
1,outside_out,2025-10-03 15:33
1,drink,2025-10-03 16:10
1,eat,2025-10-03 17:00
1,drink,2025-10-03 17:00
1,drink,2025-10-03 19:49
1,drink,2025-10-03 22:28

1,drink,2025-10-04 12:14
1,eat,2025-10-04 13:09
